title,journal,yearfunded,articles,IF,volumes,ISSN
International Journal of Molecular Sciences,ijms,2000,42975,5.923,22,1422-0067
Sustainability,sustainability,2009,39463,3.251,13,2071-1050
Sensors,sensors,2001,36826,3.576,21,1424-8220
International Journal of Environmental Research and Public Health,ijerph,2004,34204,3.39,18,1660-4601
Molecules,molecules,1996,32318,4.411,26,1420-3049
Applied Sciences,applsci,2011,28445,2.679,11,2076-3417
Energies,energies,2008,26623,3.004,14,1996-1073
Materials,materials,2008,22838,3.623,14,1996-1944
Remote Sensing,remotesensing,2009,17787,4.848,13,2072-4292
Nutrients,nutrients,2009,16186,5.717,13,2072-6643
Water,water,2009,13255,3.103,13,2073-4441
Cancers,cancers,2009,12315,6.639,13,2072-6694
Journal of Clinical Medicine,jcm,2012,11830,4.241,10,2077-0383
Polymers,polymers,2009,11696,4.329,13,2073-4360
Nanomaterials,nanomaterials,2011,8915,5.076,11,2079-4991
Entropy,entropy,1999,7790,2.524,23,1099-4300
Cells,cells,2012,7514,6.6,10,2073-4409
Viruses,viruses,2009,7388,5.048,13,1999-4915
Animals,animals,2011,7123,2.752,11,2076-2615
Symmetry,symmetry,2009,7048,2.713,13,2073-8994
Electronics,electronics,2012,6905,2.397,10,2079-9292
Metals,metals,2011,6846,2.351,11,2075-4701
Mathematics,mathematics,2013,6479,2.258,9,2227-7390
Forests,forests,2010,6075,2.633,12,1999-4907
Genes,genes,2010,5578,4.096,12,2073-4425
Foods,foods,2012,5445,4.35,10,2304-8158
Agronomy,agronomy,2011,5442,3.417,11,2073-4395
Catalysts,catalysts,2011,5265,4.146,11,2073-4344
Microorganisms,microorganisms,2013,5136,4.128,9,2076-2607
Processes,processes,2013,4894,2.847,9,2227-9717
Micromachines,micromachines,2010,4808,2.891,12,2072-666X
Plants,plants,2012,4798,3.935,10,2223-7747
Marine Drugs,marinedrugs,2003,4786,5.118,19,1660-3397
Atmosphere,atmosphere,2010,4629,2.686,12,2073-4433
Biomolecules,biomolecules,2011,4623,4.879,11,2218-273X
Toxins,toxins,2009,4614,4.546,13,2072-6651
Crystals,crystals,2011,4281,2.589,11,2073-4352
Coatings,coatings,2011,4219,2.881,11,2079-6412
Minerals,minerals,2011,4120,2.644,11,2075-163X
Pharmaceutics,pharmaceutics,2009,4113,6.321,13,1999-4923
Antioxidants,antioxidants,2012,3973,6.312,10,2076-3921
Medicina,medicina,1920,3642,2.43,57,1648-9144
ISPRS International Journal of Geo-Information,ijgi,2012,3442,2.899,10,2220-9964
Diagnostics,diagnostics,2011,3394,3.706,11,2075-4418
Brain Sciences,brainsci,2011,3316,3.394,11,2076-3425
Pathogens,pathogens,2012,3011,3.492,10,2076-0817
Journal of Marine Science and Engineering,jmse,2013,2989,2.458,9,2077-1312
Insects,insects,2010,2925,2.769,12,2075-4450
Antibiotics,antibiotics,2012,2681,4.639,10,2079-6382
Pharmaceuticals,pharmaceuticals,2004,2519,5.863,14,1424-8247
Healthcare,healthcare,2013,2484,2.645,9,2227-9032
Vaccines,vaccines,2013,2394,4.422,9,2076-393X
Agriculture,agriculture,2011,2380,2.925,11,2077-0472
Biomedicines,biomedicines,2013,2329,6.081,9,2227-9059
Land,land,2012,2195,3.395,10,2073-445X
Current Oncology,curroncol,1994,2123,3.677,28,1718-7729
Biology,biology,2012,1909,5.079,10,2079-7737
Metabolites,metabolites,2011,1903,4.932,11,2218-1989
Life,life,2011,1827,3.817,11,2075-1729
Membranes,membranes,2011,1800,4.106,11,2077-0375
Children,children,2014,1697,2.863,8,2227-9067
Diversity,diversity,2009,1658,2.465,13,1424-2818
Journal of Fungi,jof,2015,1576,5.816,7,2309-608X
Journal of Personalized Medicine,jpm,2011,1496,4.945,11,2075-4426
Buildings,buildings,2011,1478,2.648,11,2075-5309
Biosensors,biosensors,2011,1122,5.519,11,2079-6374
Universe,universe,2015,1116,2.278,7,2218-1997
Photonics,photonics,2014,968,2.676,8,2304-6732
Aerospace,aerospace,2014,868,1.659,8,2226-4310
Veterinary Sciences,vetsci,2014,773,2.304,8,2306-7381
Actuators,actuators,2012,667,1.994,10,2076-0825
Horticulturae,horticulturae,2015,663,2.331,7,2311-7524
Chemosensors,chemosensors,2013,647,3.398,9,2227-9040
Fermentation,fermentation,2015,638,3.975,7,2311-5637
Toxics,toxics,2013,627,4.146,9,2305-6304
Machines,machines,2013,547,2.428,9,2075-1702
Journal of Theoretical and Applied Electronic Commerce Research,jtaer,2006,493,3.049,16,0718-1876
Current Issues in Molecular Biology,cimb,1999,481,2.081,43,1467-3045
Separations,separations,2014,480,2.777,8,2297-8739
Gels,gels,2015,432,4.702,7,2310-2861
Magnetochemistry,magnetochemistry,2015,429,2.193,7,2312-7481
Journal of Cardiovascular Development and Disease,jcdd,2014,378,3.948,8,2308-3425
Fractal and Fractional,fractalfract,2017,301,3.313,5,2504-3110
Tomography,tomography,2015,255,3.358,7,2379-139X
Fishes,fishes,2016,216,2.385,6,2410-3888
