journal,2013,2014,2015,2016,2017,2018,2019,2020,2021
actuators,2,0,3,1,2,6,5,8,83
agriculture,3,1,8,4,6,11,12,24,135
agronomy,3,2,1,6,2,13,31,94,432
animals,4,6,5,5,1,9,45,78,613
antibiotics,4,3,4,2,3,4,18,67,253
antioxidants,3,3,2,5,13,14,36,69,246
applsci,4,1,9,23,60,113,213,458,2316
atmosphere,1,4,6,10,16,29,59,102,285
biology,4,5,2,4,1,3,3,24,234
biomedicines,1,2,0,4,6,11,5,34,252
biomolecules,4,4,8,3,2,10,36,102,310
biosensors,3,3,5,4,6,14,7,8,163
brainsci,3,3,5,8,15,9,22,61,200
cancers,13,9,15,7,15,31,81,162,881
catalysts,4,6,6,12,28,38,48,130,442
cells,4,3,6,3,2,14,100,169,617
chemosensors,1,1,2,2,1,4,4,14,106
children,0,4,1,2,6,6,9,24,109
coatings,3,1,7,6,23,31,17,74,411
crystals,1,3,3,15,32,28,39,104,360
curroncol,0,0,0,0,0,0,0,0,20
diagnostics,0,0,4,3,4,7,10,60,271
diversity,2,3,2,3,5,12,14,39,137
electronics,1,3,5,9,3,13,43,118,757
energies,8,18,31,59,67,81,185,324,1908
entropy,17,15,32,23,35,49,74,94,314
foods,2,1,4,10,6,15,34,102,467
forests,4,9,11,11,24,38,60,65,282
genes,3,3,5,15,24,44,56,90,317
healthcare,2,0,7,7,4,15,8,9,125
ijerph,20,32,34,35,63,110,173,349,1578
ijgi,4,7,9,11,15,23,21,44,125
ijms,30,41,65,108,151,220,367,679,2180
insects,4,2,1,6,8,13,17,37,120
jcm,3,9,6,9,6,13,101,155,892
jmse,1,1,8,5,3,5,28,54,257
jof,0,0,3,5,7,8,10,15,99
jpm,2,1,3,0,1,1,2,17,128
jtaer,0,0,0,0,0,0,0,0,8
land,2,5,4,1,4,10,8,21,184
life,1,6,3,3,5,6,7,24,225
magnetochemistry,0,0,1,2,4,4,4,8,83
marinedrugs,6,18,14,8,22,24,44,64,161
materials,26,22,35,58,54,80,120,251,1595
mathematics,1,0,3,4,1,14,42,130,429
medicina,0,0,0,0,0,0,20,41,201
membranes,3,2,5,3,4,13,9,43,189
metabolites,5,4,2,5,5,6,15,42,186
metals,1,3,8,19,20,46,62,87,461
micromachines,1,7,12,21,25,47,54,80,437
microorganisms,2,0,3,7,8,13,38,129,484
minerals,3,0,3,11,15,36,45,84,285
molecules,22,37,41,77,86,108,246,370,1437
nanomaterials,3,5,12,16,24,51,71,114,825
nutrients,17,15,26,27,45,79,171,218,485
pathogens,2,6,6,2,6,6,9,51,355
pharmaceuticals,7,2,3,5,6,5,12,22,151
pharmaceutics,4,2,3,2,4,19,43,98,341
photonics,1,3,6,2,4,4,8,4,109
plants,5,2,4,2,7,4,33,96,512
polymers,7,6,12,18,32,73,80,188,776
processes,2,4,1,7,3,12,30,82,594
remotesensing,12,15,25,31,34,96,145,221,854
sensors,28,36,45,82,113,174,261,404,1586
separations,0,0,4,2,2,3,4,4,80
sustainability,19,22,38,57,82,176,238,559,3178
symmetry,0,4,14,12,18,23,46,83,483
tomography,0,0,0,0,0,0,0,0,2
toxics,1,2,1,1,2,5,4,6,91
toxins,11,10,10,12,15,24,41,54,193
universe,0,0,1,1,5,6,13,13,146
vaccines,4,3,3,3,3,6,9,33,218
viruses,17,16,20,16,15,37,52,76,273
water,7,9,14,28,47,67,119,219,702
